Ball count,CTE_pkg_sub_xy,CTE_solder_pkg,CTE_solder_sub_xy,"DieHlfDiagSz, mm",Packag Poisson ratio,"Package Plating (0:None, 1:Ni/Au, )",Solder CTE,Solder Poisson Ratio,Solder Specific Heat J/KgK,Solder Tensile Strength MPa,Solder Thermal conductivity W/mK,Solder Young Module,Solder density,Solder melting temp.,Substrate Poisson ratio,Substrate Thermal Conductivity x-y-direction W/mK,"Substrate thickness, mm","Substratre Plating (0:None, 1:Ni/Au, )","Tmax, °C",Tmean_C,Tmin_C,b_Ag (Wt. % Ag comp. in ball alloy),b_Cu (Wt. % Cu comp. in ball alloy),creep_index,creep_ratio,cycle_mode,fatigue_index,freq_cycle_per_hour,frequency_min_per_cycle,geom_strain_index,p_Ag (Wt. % Ag comp. in paste alloy),p_Cu (Wt. % Cu comp. in paste alloy),pkg_die_ratio,relative_pitch,substrate_thermal_diffusivity_xy,"ΔT, °C",log_life,mean life (cycle)
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999958333333,0.49999999500998,0,50.09999958333333,0.4999999958333334,120.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.220819074107748,10104.33796
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999964285714,0.5383788704804484,0,42.95714255102041,0.4285714255102041,140.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.178246960422562,9683.161166
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999979166666,0.6662233953941235,0,25.09999989583333,0.2499999989583333,240.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.029392702526644,8343.790263
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,43.15555549575617,0.8365280906103939,0,8.433333321759259,0.0833333332175925,720.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,8.767292567775996,6419.765124
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,0.1,0.0006990213818156,1,142.9571394557824,,,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.689341347188607,16143.6071
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,0.1,0.0006990213818156,1,142.9571394557824,,,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.403193277268503,12126.04398
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,50.0,0.0,0.0,0.0,0.1,0.0006990213818156,1,142.9571394557824,,,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,9.216254133169528,10058.31282
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,37.5,-25.0,0.0,0.0,112.09999720000006,0.3740095074698029,0,187.6249953125001,1.4999999625000011,40.0,-5028.950655840099,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,125.0,8.983197109972872,7967.06622
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,75.0,37.5,0.0,0.0,0.0,84.07499790000004,0.4275362297113425,0,112.57499718750007,1.4999999625000011,40.0,-3017.37039350406,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,75.0,10.216927825613247,27361.47493
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,60.0,30.0,0.0,0.0,0.0,24.059999400000017,0.2108307026817105,0,90.05999775000006,1.4999999625000011,40.0,-2413.896314803248,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,60.0,11.15905397610509,70195.51719
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,100.0,30.0,-40.0,0.0,0.0,40.099999000000025,0.1602461630486427,0,210.1399947500001,1.4999999625000011,40.0,-5632.424734540911,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,140.0,9.105888797994574,9007.184194
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,125.0,50.0,-25.0,0.0,0.0,78.24999804687506,0.2579103485281527,0,225.14999437500012,1.4999999625000011,40.0,-6034.74078700812,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,150.0,8.44265554518121,4639.862656
64.0,-11.38,19.88,8.5,3.39,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.16,0.8,1.6,1.0,60.0,10.0,-40.0,0.0,0.0,30.05999900000003,0.1306047961014018,0,200.0999933333336,1.999999933333336,30.0,-4023.16052467208,4.0,0.5,1.6696160266619389,0.1413427312115316,0.0005784892387779,100.0,10.448150437241194,34479.54177
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,125.0,42.5,-40.0,0.0,0.0,62.62499895833334,0.27492427115251,0,165.16499725000006,0.9999999833333336,60.0,-2963.280449718926,4.0,0.5,,0.1413427312115316,0.0118799726721424,165.0,7.883843086962976,2653.052741
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,125.0,42.5,-40.0,0.0,0.0,62.6249985119048,0.2097959821309678,0,235.87928010204092,1.428571394557824,42.0,-2963.280449718926,4.0,0.5,,0.1413427312115316,0.0118799726721424,165.0,7.988109130917888,2944.721716
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,125.0,42.5,-40.0,0.0,0.0,62.62499973958332,0.6019319434627216,0,41.414999828125,0.2499999989583333,240.0,-2963.280449718926,4.0,0.5,,0.1413427312115316,0.0118799726721424,165.0,7.506910902222873,1819.580895
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999833333338,0.2002398073611453,0,200.0999933333336,1.999999933333336,30.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,9.236854652127096,10267.68911
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,128.933329038889,0.3918549273899281,0,200.0999933333336,1.999999933333336,30.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.975461393996657,7905.665319
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999875000003,0.250249749005989,0,150.0999962500001,1.4999999625000011,40.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,9.157404917455128,9483.412281
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,118.34999704375008,0.4408642188840806,0,150.0999962500001,1.4999999625000011,40.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.91968632518046,7476.743282
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,159.29999681600003,0.5701503200771978,0,120.09999760000004,1.1999999760000006,50.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.775943852213834,6475.553964
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999916666668,0.3335552574367479,0,100.09999833333336,0.9999999833333336,60.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,9.045427948827012,8478.679632
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.099999375,0.4001597412147751,0,75.09999906250002,0.7499999906250001,80.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.965979913120291,7831.052701
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,59.22499926093751,0.4409082416470462,0,75.09999906250002,0.7499999906250001,80.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.91968632518046,7476.743282
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,77.87777691358025,0.5384083539357478,0,66.76666592592593,0.6666666592592594,90.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.811435374214428,6709.5445
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,70.09999930000001,0.5384024536215111,0,60.0999994,0.599999994,100.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.811435374214428,6709.5445
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999958333333,0.49999999500998,0,50.09999958333333,0.4999999958333334,120.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.854005580321958,7001.381471
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999964285714,0.5383788704804484,0,42.95714255102041,0.4285714255102041,140.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.811435374214428,6709.5445
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,50.09999979166666,0.6662233953941235,0,25.09999989583333,0.2499999989583333,240.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.662588461459702,5781.483042
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,43.15555549575617,0.8365280906103939,0,8.433333321759259,0.0833333332175925,720.0,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,8.400504240430887,4448.309704
64.0,-5.08,19.88,14.8,,0.22,1.0,22.5,0.35,236.0,51.5,62.0,40.1,7.4,491.0,0.23,36.0,1.6,1.0,100.0,50.0,0.0,0.0,0.0,0.1,0.0006990213818156,1,142.9571394557824,,,-1795.9275452841975,4.0,0.5,,0.1413427312115316,0.0118799726721424,100.0,9.322511448226576,11186.04228
