"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle
0.8,7.810249676,6.403124237,100.0,20.0,100.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,16997.0,0,40.0
0.8,7.810249676,6.403124237,100.0,20.0,100.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,12288.0,0,40.0
0.8,7.810249676,6.403124237,100.0,20.0,100.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,12788.0,0,40.0
0.8,7.810249676,6.403124237,100.0,20.0,100.0,2.3,60.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,2.0,3.0,3.9,0.5,0.6,20.7,232.0,58.0,490.15,0.307,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,2.0,11567.0,0,40.0
1.27,20.50609665,14.8492424,100.0,11.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,3.8,0.7,0.7,22.0,236.0,57.0,492.15,0.34,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1324.0,1,
1.27,20.50609665,14.8492424,100.0,31.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,3.8,0.7,0.7,22.0,236.0,57.0,492.15,0.34,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,954.0,1,
1.27,20.50609665,14.8492424,100.0,61.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.8,3.8,0.7,0.7,22.0,236.0,57.0,492.15,0.34,42.6,7.4,48.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,884.0,1,
1.27,20.50609665,14.8492424,100.0,11.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,1113.0,1,
1.27,20.50609665,14.8492424,100.0,31.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,730.0,1,
1.27,20.50609665,14.8492424,100.0,61.0,100.0,2.36,484.0,7.7,779.0,36.0,2345.15,0.23,360.0,3.89,1.0,3.0,3.0,0.5,0.5,20.7,232.0,58.0,490.15,0.36,41.6,7.37,50.0,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,0.0,776.0,1,
