"Pitch, mm","PkgHlfDiagSz, mm","DieHlfDiagSz, mm","ΔT, °C","t (Ramp up and hot dwell time), min","Tmax, °C","Substrate thickness, mm",Ball count,"Package CTE, ppm/°C",Package Specific Heat J/KgK,Package Thermal conductivity W/mK,"Package melting temp., K",Packag Poisson ratio,"Package Young Module, GPa","Package density, g/cm3","Package Plating (0:None, 1:Ni/Au, )",b_Ag (Wt. % Ag comp. in ball alloy),p_Ag (Wt. % Ag comp. in paste alloy),b_Cu (Wt. % Cu comp. in ball alloy),p_Cu (Wt. % Cu comp. in paste alloy),Solder CTE,Solder Specific Heat J/KgK,Solder Thermal conductivity W/mK,Solder melting temp.,Solder Poisson Ratio,Solder Young Module,Solder density,Solder Tensile Strength MPa,Substrate CTE x-y-direction,Substrate CTE z-direction,Substrate Specific Heat J/KgK,Substrate Thermal Conductivity x-y-direction W/mK,Substrate Thermal Conductivity z-direction W/mK,Substrate melting temp.,Substrate Poisson ratio,Substrate Young Module,Substrate density,"Substratre Plating (0:None, 1:Ni/Au, )",mean life (cycle),cycle_mode,frequency_min_per_cycle
0.8,5.66,3.39,100.0,310.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,6419.765124,0,720.0
0.8,5.66,3.39,100.0,11.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,16143.6071,1,
0.8,5.66,3.39,100.0,31.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,12126.04398,1,
0.8,5.66,3.39,100.0,61.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,10058.31282,1,
0.8,5.66,3.39,125.0,44.8,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,7967.06622,0,40.0
0.8,5.66,3.39,75.0,44.8,75.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,27361.47493,0,40.0
0.8,5.66,3.39,60.0,16.0,60.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,70195.51719,0,40.0
0.8,5.66,3.39,140.0,16.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,9007.184194,0,40.0
0.8,5.66,3.39,150.0,25.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,4639.862656,0,40.0
0.8,5.66,3.39,100.0,15.0,60.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,14.0,45.0,872.5,0.8,0.4,393.15,0.16,28.5,1.585,1.0,34479.54177,0,30.0
0.8,5.66,,165.0,30.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,2653.052741,0,60.0
0.8,5.66,,165.0,21.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,2944.721716,0,42.0
0.8,5.66,,165.0,120.0,125.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,1819.580895,0,240.0
0.8,5.66,,100.0,15.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,10267.68911,0,30.0
0.8,5.66,,100.0,38.65,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,7905.665319,0,30.0
0.8,5.66,,100.0,20.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,9483.412281,0,40.0
0.8,5.66,,100.0,47.3,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,7476.743282,0,40.0
0.8,5.66,,100.0,79.6,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,6475.553964,0,50.0
0.8,5.66,,100.0,30.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,8478.679632,0,60.0
0.8,5.66,,100.0,40.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,7831.052701,0,80.0
0.8,5.66,,100.0,47.3,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,7476.743282,0,80.0
0.8,5.66,,100.0,70.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,6709.5445,0,90.0
0.8,5.66,,100.0,70.0,100.0,1.6,64.0,2.62,700.0,148.0,1693.0,0.22,159.0,2.33,1.0,0.0,4.0,0.0,0.5,22.5,236.0,62.0,491.0,0.35,40.1,7.4,51.5,7.7,7.7,779.0,36.0,36.0,2345.15,0.23,360.0,3.89,1.0,6709.5445,0,100.0
